=== ГРАФИК МОНИТОРИНГА CPU ===
Данные получены через SNMP запросы
Сервер: 192.168.0.102
Период: 03.02.2026 21:00
==============================
=== СОЗДАНИЕ ПРОСТОГО ГРАФИКА ===
Создаем тестовые данные...
=== ТЕКСТОВЫЙ ГРАФИК ===
Время     | Загрузка CPU
----------|--------------
   20:48 | ████  8%
   20:49 | ██████ 12%
   20:50 | ███████ 15%
   20:51 | █████ 10%
   20:52 | █████████ 18%
   20:53 | ████  9%
   20:54 | ███████ 14%
   20:55 | █████ 11%
   20:56 | ████████ 16%
   20:57 | ███  7%
   20:58 | ██████ 13%
   20:59 | ████  9%
   21:00 | █████ 10%
Создайте график на компьютере с gnuplot
